run_id,CCEI,Passed_GARP,Alpha,Rho,R_squared
1,1.0,True,0.7206557699509283,0.7275971817920169,0.987230805534366
2,1.0,True,0.6772904734639668,0.7780977878836706,0.9914288210318187
3,1.0,True,0.6666233101890359,0.8315763643807377,0.9848221491469655
4,1.0,True,0.6918784554588179,0.7968268724854488,0.9961345346396336
5,1.0,True,0.6785056460736587,0.7873559627352225,0.9644706190015893
6,1.0,True,0.6666233101890359,0.8315763643807377,0.9848221491469655
7,1.0,True,0.7092594249924916,0.7903648077443177,0.983801677338994
8,1.0,True,0.7346090905030714,0.717873341177066,0.9943060412119931
9,0.9990234375,False,,,
10,1.0,True,0.6851250157413461,0.7570030829381812,0.9510992942644279
11,1.0,True,0.7346090905030714,0.717873341177066,0.9943060412119931
12,1.0,True,0.6482429943874853,0.8480728994488939,0.9931332634866217
13,1.0,True,0.6918784554588179,0.7968268724854488,0.9961345346396336
14,1.0,True,0.6918784554588179,0.7968268724854488,0.9961345346396336
15,1.0,True,0.7002992647786148,0.7492671891120584,0.9957161344227997
16,0.9990234375,False,,,
17,1.0,True,0.6892356100146283,0.7398507255434636,0.9898474079079079
18,1.0,True,0.7414161321640507,0.6812595047755541,0.9893619595012754
19,1.0,True,0.7346090905030714,0.717873341177066,0.9943060412119931
20,0.9990234375,False,,,
21,1.0,True,0.7206557699509283,0.7275971817920169,0.987230805534366
22,1.0,True,0.7346090905030714,0.717873341177066,0.9943060412119931
23,1.0,True,0.7233678065190925,0.7253999258282438,0.9935012351875848
24,1.0,True,0.7092594249924916,0.7903648077443177,0.983801677338994
25,1.0,True,0.6824550753660356,0.778586425311819,0.9873128107846282
26,0.9990234375,False,,,
27,0.9990234375,False,,,
28,1.0,True,0.74651238813487,0.7128943924337957,0.9900348587075513
29,1.0,True,0.6482429943874853,0.8480728994488939,0.9931332634866217
30,1.0,True,0.6677160966203439,0.8602507151495439,0.9935645783247699
31,0.9990234375,False,,,
32,1.0,True,0.7406943388298102,0.8025392462514577,0.9898108739401614
33,1.0,True,0.6918784554588179,0.7968268724854488,0.9961345346396336
34,1.0,True,0.7118167477449574,0.7913782669999738,0.989027412119953
35,1.0,True,0.7027132698348945,0.7461549502570005,0.979398869373791
36,1.0,True,0.7002992647786148,0.7492671891120584,0.9957161344227997
37,0.9990234375,False,,,
38,1.0,True,0.6918784554588179,0.7968268724854488,0.9961345346396336
39,1.0,True,0.7077642300307899,0.8643238550533866,0.9600406148644317
40,1.0,True,0.6918784554588179,0.7968268724854488,0.9961345346396336
41,1.0,True,0.712521337765626,0.713081443718806,0.9877240224304562
42,0.9990234375,False,,,
43,1.0,True,0.712521337765626,0.713081443718806,0.9877240224304562
44,1.0,True,0.7233678065190925,0.7253999258282438,0.9935012351875848
45,1.0,True,0.5768808024060602,0.6877721062642147,0.914471476551963
46,1.0,True,0.7002992647786148,0.7492671891120584,0.9957161344227997
47,1.0,True,0.7247836749091562,0.6984118778270675,0.9874233813229227
48,0.9990234375,False,,,
49,1.0,True,0.6918784554588179,0.7968268724854488,0.9961345346396336
50,1.0,True,0.6677160966203439,0.8602507151495439,0.9935645783247699
